conjunto,entidade,ano,pago_real,score_combinado,n_sinais,sinais,desvio_padronizado,score_anomalia_2_3,sinal_flag,sinal_outlier
B,Fundação Universidade Federal do Acre,2025,496208775.45,0.9264100785945445,3,"zscore_robusto, outlier_multivariado(score=0.95), tendencia_robusta(desvio=4.0)",3.961573675698114,0.9542302357836339,1.0,0.9542302357836339
B,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",2025,428389367.79,0.9233864844343205,3,"zscore_robusto, outlier_multivariado(score=0.87), tendencia_robusta(desvio=4.2)",4.158783212558221,0.8701594533029613,1.0,0.8701594533029613
B,Universidade Federal do Oeste da Bahia,2015,49267297.400547475,0.915742024965326,3,"zscore_robusto, salto_anual, outlier_multivariado(score=1.00), tendencia_robusta(desvio=-3.5)",-3.522173573869915,0.9972260748959778,1.0,0.9972260748959778
B,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",2025,941690106.26,0.8219438116932422,3,"zscore_robusto, outlier_multivariado(score=0.97), tendencia_robusta(desvio=2.9)",2.9188033605440182,0.9658314350797267,1.0,0.9658314350797267
B,Universidade Federal da Integração Latino-Americana,2025,288817710.8,0.762575127138234,3,"zscore_robusto, outlier_multivariado(score=0.84), tendencia_robusta(desvio=2.9)",2.897595188933251,0.8377253814147019,1.0,0.8377253814147019
B,Fundação Universidade Federal do Vale do São Francisco,2025,352500610.15,0.7221336107258437,3,"zscore_robusto, outlier_multivariado(score=0.19), tendencia_robusta(desvio=7.8)",7.81579744773657,0.19140083217753118,1.0,0.19140083217753118
B,Universidade Federal Rural do Rio de Janeiro,2021,736752344.6119688,0.5147595931576514,3,"outlier_multivariado(score=0.62), tendencia_robusta(desvio=-4.2)",-4.211055945559876,0.6192787794729542,0.0,0.6192787794729542
B,Universidade Federal de Ouro Preto,2025,590261678.14,0.49731853906611184,3,"outlier_multivariado(score=0.79), tendencia_robusta(desvio=3.3)",3.263257315474505,0.7919556171983356,0.0,0.7919556171983356
B,Universidade Federal de Campina Grande,2025,955484792.86,0.4204230235783634,3,"outlier_multivariado(score=0.89), tendencia_robusta(desvio=2.8)",2.820086295991442,0.8862690707350902,0.0,0.8862690707350902
B,Universidade Federal Rural do Rio de Janeiro,2022,736394856.9222357,0.41829634766527973,3,"outlier_multivariado(score=0.48), tendencia_robusta(desvio=-3.8)",-3.77682983290194,0.4798890429958391,0.0,0.4798890429958391
