ano,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,chave_serie,empenhado,liquidado,pago,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia,empenhado_real,liquidado_real,pago_real
2020,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,23762561649.27,23754527182.01,21845991582.14,0.9996618854743613,0.9193449723384988,8034467.260002136,1908535599.869999,,-0.2822679501140094,-0.603086654346492,False,False,False,False,False,False,False,31637100690.208355,31626403726.9159,29085409458.9099
2021,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,24279884868.02,24269069082.7,22268206801.65,0.9995545372072894,0.9171463094942571,10815785.319999695,2000862281.0499992,0.019326896557773088,-0.17026602598414478,-0.2871860875825652,False,False,False,False,False,False,False,29370828279.82102,29357744668.631268,26937346763.627407
2022,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,24663881815.08,24631790662.14,22652043836.99,0.9986988604153795,0.9184297916615899,32091152.94000244,1979746825.1499977,0.017236997965707657,-0.06844476392666832,0.0,False,False,False,False,False,False,False,28203806891.711056,28167109802.12726,25903216487.6179
2023,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,26630319598.39,26616323676.5,23553543218.51,0.9994744365782661,0.8844634076390876,13995921.88999939,3062780457.9900017,0.03979770602632682,0.17069788339263475,0.6745,False,False,False,False,False,False,False,29107398948.958755,29092101164.769363,25744429261.90646
2024,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,27736668819.85,27718490926.4,24565869188.93,0.999344625932982,0.8856820315548929,18177893.44999695,3152621737.470001,0.04297977425428057,0.4392397343123093,1.4319202279507004,False,False,False,False,False,False,False,28919471325.003677,28900518253.4654,25613456114.62273
2025,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,33093963839.73,33081832610.14,29084376005.9,0.9996334307474091,0.878842321420065,12131229.590000153,3997456604.239998,0.18393433516311952,1.637873592849854,4.812657819703183,False,False,False,False,True,False,True,33093963839.73,33081832610.14,29084376005.9
2026,12,Educação,364,Ensino superior,0032,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,0032-20TP,30568510416.92,16593450546.13,16400396510.25,0.5428282346707135,0.5365127801965844,13975059870.789999,193054035.87999916,-0.43610973441812717,-1.7268324705299765,-4.677469789026802,False,False,False,False,True,False,True,29573509683.614784,16053336054.573864,15866565900.52678
2018,12,Educação,364,Ensino superior,0041,DESENVOLVIMENTO DO ENSINO DE GRADUAGCO,3076,CONSTRUCAO E AMPLIACAO DE BENS IMOVEIS DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,0041-3076,300000.0,0.0,0.0,0.0,0.0,300000.0,0.0,,,,False,False,False,False,False,False,False,435433.8104359169,0.0,0.0
2019,12,Educação,364,Ensino superior,0041,DESENVOLVIMENTO DO ENSINO DE GRADUAGCO,3076,CONSTRUCAO E AMPLIACAO DE BENS IMOVEIS DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,0041-3076,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2020,12,Educação,364,Ensino superior,0041,DESENVOLVIMENTO DO ENSINO DE GRADUAGCO,3076,CONSTRUCAO E AMPLIACAO DE BENS IMOVEIS DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,0041-3076,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
