ano,codigoOrgaoSuperior,orgaoSuperior,codigoOrgao,orgao,tipo_instituicao,chave_serie,empenhado,liquidado,pago,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,variacao_pago_aa,zscore_pago,zscore_robusto_pago,zscore_pago_entre_pares,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_atipico_entre_pares,flag_anomalia
2014,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1238790809.97,1070440928.32,1067504209.55,0.8641014444932176,0.8617308111737217,168349881.64999998,2936718.7700001,,-0.08527839613468893,0.29146855502829455,0.6167942291618669,False,False,False,False,False,False,False,False
2015,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1196709006.74,886429493.14,884408146.65,0.7407226720510409,0.7390335843291173,310279513.6,2021346.4900000095,-0.17151788373479393,-0.9647343607348764,-2.1241981899441584,0.6369055313877262,False,False,False,False,False,False,False,False
2016,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1279610061.15,1041793232.28,1041479739.19,0.8141489848428736,0.8139039937322862,237816828.87000012,313493.08999991417,0.1776007979290588,-0.2102804050318595,-0.05188370830523357,0.7192467334547594,False,False,False,False,False,False,False,False
2017,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1319326604.0,1210782332.68,1208813323.52,0.9177275202433499,0.9162350852738508,108544271.31999993,1969009.1600000858,0.16066907308263323,0.593464451553732,2.155821736479753,0.7368934111109808,False,False,False,False,False,False,False,False
2018,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1309746836.6,1207162767.97,1164087802.44,0.9216764142784265,0.8887884054462623,102584068.62999988,43074965.52999997,-0.036999526899456736,0.3786366411647115,1.5657383004228642,0.8263522881977312,False,False,False,False,False,False,False,False
2019,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1291527044.43,1141183750.99,1096536173.37,0.8835926091610786,0.8490230058279136,150343293.44000006,44647577.620000124,-0.058029668319183325,0.05416935244688797,0.6745,0.7870894277399004,False,False,False,False,False,False,False,False
2020,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1250762480.07,1070780710.43,1010314728.98,0.8561023595543679,0.8077590630344595,179981769.64,60465981.44999993,-0.07863073420096511,-0.3599737063617718,-0.46305737080032183,1.090215775540836,False,False,False,False,False,False,False,False
2021,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1169119710.67,1089649136.3,1045412277.79,0.9320252890745833,0.8941875397780218,79470574.37000012,44236858.50999999,0.03473922313835209,-0.191391443286793,0.0,1.0602330527459134,False,False,False,False,False,False,False,False
2022,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1252492958.44,1106428316.91,1025893183.75,0.8833808680953178,0.8190809990882235,146064641.52999997,80535133.16000009,-0.018671192652589985,-0.2851465104639908,-0.2575239774007064,1.028461167080787,False,False,False,False,False,False,False,False
2023,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1477941670.83,1083373578.31,1035174418.3,0.7330286436145929,0.7004162875512229,394568092.52,48199160.00999999,0.00904697944875088,-0.2405664307256908,-0.13507257511703527,1.0169871508008326,False,False,False,False,False,False,False,False
2024,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1695744780.03,1298490721.61,1206900881.63,0.7657347596771183,0.7117231884438697,397254058.4200001,91589839.97999978,0.1658913322182125,0.5842785171296245,2.130590050979841,0.9738003484073113,False,False,False,False,False,False,False,False
2025,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1973428281.58,1682180154.25,1617243930.71,0.8524151447263055,0.8195098579489165,291248127.3299999,64936223.53999996,0.33999730659389704,2.5552583204623236,7.544426055932818,1.0279973160787694,False,False,False,False,True,False,False,True
2026,26000,Ministério da Educação,26000,Ministério da Educação - Unidades com vínculo direto,Outros / Administração,26000,1255966713.01,727489016.4,704592008.57,0.5792263511956688,0.5609957662662912,528477696.61,22897007.829999924,-0.5643254581510959,-1.8284360300176126,-4.4965914467367405,1.1432999618093387,False,False,False,False,True,False,False,True
2014,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,482135829.51,469941604.32,464822910.4,0.9747079050266952,0.9640911999268021,12194225.189999998,5118693.920000017,,-1.3713571925526549,-1.9853897306898793,,False,False,False,False,False,False,False,False
2015,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,566500708.42,539607740.58,534803730.07,0.9525279184292536,0.9440477692633351,26892967.839999914,4804010.51000005,0.15055372294317104,-0.7592490234915932,-1.1471221468656143,,False,False,False,False,False,False,False,False
2016,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,601925487.76,574977927.16,574259490.82,0.9552310690476284,0.954037505467735,26947560.600000024,718436.3399999142,0.0737761510093351,-0.4141374116888069,-0.6745,,False,False,False,False,False,False,False,False
2017,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,663678388.72,636939542.05,584771523.88,0.9597111385206172,0.881106773730898,26738846.670000076,52168018.16999996,0.01830537105270924,-0.3221907705976007,-0.5485812611821335,,False,False,False,False,False,False,False,False
2018,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,681616587.09,656092182.29,606410481.81,0.9625531342936203,0.8896650892827085,25524404.80000007,49681700.48000002,0.0370041239122314,-0.13291915329758566,-0.28937828148008155,,False,False,False,False,False,False,False,False
2019,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,736455856.27,700706687.59,650852657.17,0.9514578255089691,0.8837632990881994,35749168.67999995,49854030.42000008,0.07328728096412518,0.2558076252251591,0.2429737991985626,,False,False,False,False,False,False,False,False
2020,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,716306885.21,681919167.45,631866815.54,0.9519930375234094,0.8821174675080155,34387717.75999999,50052351.910000086,-0.029170721546337597,0.08974228313536738,0.015551261636132293,,False,False,False,False,False,False,False,False
2021,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,720438734.5,688662502.95,630568554.63,0.9558932216879575,0.8752563187314298,31776231.549999952,58093948.32000005,-0.002054643285690605,0.07838665580303569,0.0,,False,False,False,False,False,False,False,False
2022,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,728360031.2,697883246.09,641146395.14,0.9581569775873225,0.8802602664559828,30476785.110000014,56736850.95000005,0.016775084060775658,0.17090890143731605,0.12670701555382513,,False,False,False,False,False,False,False,False
2023,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,803678858.58,770137151.41,704838745.69,0.9582647884638099,0.8770154125185797,33541707.170000076,65298405.71999991,0.09934135328966831,0.7280130945891,0.8896479621647272,,False,False,False,False,False,False,False,False
2024,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,861593281.52,825549618.55,757038434.3,0.958166267375701,0.8786494167694214,36043662.97000003,68511184.25,0.07405905099456356,1.1845932828649168,1.5149236741930314,,False,False,False,False,False,False,False,False
2025,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,968620596.72,931910307.42,864960503.34,0.9621004452885777,0.8929817373995351,36710289.30000007,66949804.07999992,0.14255824295075703,2.12856593698453,2.8076717797751503,,False,False,False,False,False,False,False,False
2026,26000,Ministério da Educação,26201,Colégio Pedro II,Educação Básica,26201,772703269.22,456483115.41,434548174.07,0.5907612062658849,0.5623739297863353,316220153.81,21934941.340000033,-0.4976092291011962,-1.6361642284111804,-2.3480366701504236,,False,False,False,False,False,False,False,False
2014,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,211505729.05,178588020.93,169944001.68,0.8443649339057939,0.8034959735763243,32917708.120000005,8644019.25,,-0.8591187284157595,-0.8167310518200618,-0.7785372838721654,False,False,False,False,False,False,False,False
2015,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,209348199.0,177640938.82,174513826.26,0.8485429522133123,0.8336055771848316,31707260.180000007,3127112.5600000024,0.02689017873431543,-0.7763140159567946,-0.6745,-0.8068612231080516,False,False,False,False,False,False,False,False
2016,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,243108431.26,190099198.42,188667980.36,0.781952305951464,0.776065146659694,53009232.84,1431218.0599999726,0.08110620461047269,-0.5198423199797064,-0.23396662940259924,-0.819508824607594,False,False,False,False,False,False,False,False
2017,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,233398323.48,194277010.79,192418522.3,0.8323839173019925,0.8244211844841656,39121312.69,1858488.4899999797,0.019879059143175892,-0.4518829177159571,-0.11723490027757082,-0.8523076613704595,False,False,False,False,False,False,False,False
2018,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,224662792.75,201822441.36,191219963.9,0.8983349618758801,0.8511421119597028,22840351.389999986,10602477.460000008,-0.006228913857530438,-0.47360066244332205,-0.1545387877497179,-0.860136267524805,False,False,False,False,False,False,False,False
2019,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,232417286.96,207299326.71,196185230.92,0.8919273149663652,0.8441077403754579,25117960.25,11114095.790000021,0.02596625853666934,-0.3836305770110534,0.0,-0.8674501734187099,False,False,False,False,False,False,False,False
2020,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,245125381.09,217471673.31,205292797.33,0.8871854572666765,0.8375011857895894,27653707.78,12178875.97999999,0.046423302953492396,-0.21860248795014206,0.2834635613114438,-0.7643996136587541,False,False,False,False,False,False,False,False
2021,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,234903533.88,215010316.62,202452298.09,0.9153132482452886,0.8618529263736933,19893217.25999999,12558018.530000001,-0.013836331702539062,-0.27007201783921053,0.19505596764418556,-0.7692464790670971,False,False,False,False,False,False,False,False
2022,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,275383269.63,244697842.35,231175690.76,0.8885719262421846,0.8394689011812645,30685427.28,13522151.590000004,0.14187733575259798,0.25039265848438186,1.0890417825865102,-0.7519690160934053,False,False,False,False,False,False,False,False
2023,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,299910863.04,278353555.8,251661978.47,0.9281209522673247,0.8391225843541221,21557307.24000001,26691577.330000013,0.08861782846911992,0.6216019102798157,1.7266562463088173,-0.7598719682785983,False,False,False,False,False,False,False,False
2024,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,348213094.54,330090552.37,302923817.35,0.9479555982983913,0.8699380411014453,18122542.170000017,27166735.01999998,0.2036932205319637,1.5504607218747681,3.3221278305009987,-0.7191169525421345,False,False,False,False,False,False,False,False
2025,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,405885731.07,389017919.62,352500610.15,0.9584419698481814,0.8684725359049562,16867811.449999988,36517309.47000003,0.16366092713904568,2.448786686159745,4.8651541025968275,-0.7287519862173473,False,False,False,False,True,False,False,True
2026,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,Universidade Federal,26230,325728833.16,184027324.51,166684626.18,0.5649709383252683,0.5117281898655974,141701508.65000004,17342698.329999983,-0.5271366307449212,-0.9181782494867621,-0.9181757347670693,-0.7723075283815433,False,False,False,False,False,False,False,False
2014,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,755033634.5,720493792.42,712592314.22,0.9542539027378918,0.943788834906533,34539842.08000004,7901478.1999999285,,-1.3313243451717172,-1.5911969399988088,0.1043508599817692,False,False,False,False,False,False,False,False
2015,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,842157404.17,797599316.24,782068292.97,0.9470905466016596,0.9286485983469781,44558087.92999995,15531023.26999998,0.09749751346398972,-0.8787125827005351,-1.0639781582317653,0.14939072279524812,False,False,False,False,False,False,False,False
2016,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,865411268.15,836357830.46,833393050.7,0.9664281726396886,0.9630023104292995,29053437.689999938,2964779.7599999905,0.06562695124116069,-0.5443496924968224,-0.6745,0.12546486349418765,False,False,False,False,False,False,False,False
2017,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,967279215.1,928336881.81,922277493.53,0.9597403390023489,0.9534759758428721,38942333.29000008,6059388.279999971,0.10665368850309265,0.03470144214523939,0.0,0.14085491987746515,False,False,False,False,False,False,False,False
2018,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,1021096374.93,977927116.49,912333588.01,0.9577226405852637,0.8934843080532373,43169258.43999994,65593528.48000002,-0.010781901965253304,-0.030079633044062727,-0.07545937241310142,0.1663015428944629,False,False,False,False,False,False,False,False
2019,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,Universidade Federal,26231,1016511638.33,995449054.74,931114963.79,0.9792795450678723,0.9159904605909913,21062583.590000033,64334090.95000005,0.02058608389171135,0.09227447763364192,0.06706318339386724,0.15579238865551795,False,False,False,False,False,False,False,False
