sigla_uf,valor_pago_real,n_emendas,populacao_media,per_capita_real,zscore_robusto,flag_atipico
AC,41858104.57090011,53,862081.3333333334,48.55470470408064,14.284606054792256,True
RJ,453653016.5580242,602,17062237.0,26.588132409485592,7.303778685221751,True
DF,63755713.79004397,72,2998347.25,21.2636190788255,5.611684539178735,True
AP,17182548.31604668,97,816835.25,21.03551275002723,5.539193898313523,True
ES,34913469.33923946,37,4034019.25,8.65476022189023,1.604674896203946,False
RN,29027307.365349162,127,3485158.1666666665,8.328835013279168,1.5010980802040776,False
MS,20509644.213971145,48,2784135.4166666665,7.366611584764982,1.195310014804973,False
TO,10030956.899627374,59,1564142.8333333333,6.413069628846156,0.8922808623891544,False
RR,3462118.6689801672,35,610896.6666666666,5.6672737925893095,0.6552720147623203,False
SE,12080382.426891424,40,2289229.9166666665,5.277050740487261,0.5312617811301213,False
BA,77547954.18822646,182,15009127.833333334,5.166719548886943,0.49619927835492333,False
PA,39314469.28224823,168,8524129.333333334,4.612138993305775,0.3199573472464814,False
MG,78115590.72374704,302,21173756.833333332,3.6892645617225357,0.02667412561894129,False
MT,12706840.232043523,22,3524460.5833333335,3.6053290798973157,0.0,False
GO,19913712.162481144,102,7016613.166666667,2.838080380016362,-0.24382642187257486,False
MA,18668666.252039008,66,7023406.583333333,2.6580642926667637,-0.3010343108722745,False
SC,16754441.077178398,83,7327641.083333333,2.2864713059276682,-0.4191240363597142,False
PR,20403085.993367426,204,11486905.916666666,1.7762038046959217,-0.5812835799894407,False
RS,20053604.14842022,172,11318400.916666666,1.7717700844905324,-0.5826925861349473,False
CE,14849179.668227494,101,9111959.25,1.629636312105708,-0.6278617329229704,False
AL,5042115.427228267,34,3316743.8333333335,1.5202004377169316,-0.6626397099737652,False
AM,6145832.5573216975,51,4144525.5,1.4828796583159394,-0.6745,False
SP,65273017.43631032,232,45612510.333333336,1.4310332178452632,-0.6909764463840159,False
PB,5513592.798142796,99,4047443.1666666665,1.3622409435049831,-0.7128381635918384,False
RO,2285017.797181047,21,1776336.3333333333,1.2863655121511601,-0.7369508599547145,False
PE,10798953.6334623,145,9513844.916666666,1.1350777449130307,-0.7850290840878901,False
PI,1296813.0522264699,46,3280320.0,0.3953312640920611,-1.0201154876743577,False
