ano,sigla_uf,uf,pib_mil_reais
2014,AC,Acre,13458698
2014,AL,Alagoas,40974994
2014,AM,Amazonas,86668644
2014,AP,Amapá,13400284
2014,BA,Bahia,223929966
2014,CE,Ceará,126054472
2014,DF,Distrito Federal,197432059
2014,ES,Espírito Santo,128783781
2014,GO,Goiás,165015318
2014,MA,Maranhão,76842028
2014,MG,Minas Gerais,516633984
2014,MS,Mato Grosso do Sul,78950133
2014,MT,Mato Grosso,101234520
2014,PA,Pará,124584945
2014,PB,Paraíba,52936483
2014,PE,Pernambuco,155142648
2014,PI,Piauí,37723497
2014,PR,Paraná,348084191
2014,RJ,Rio de Janeiro,671076844
2014,RN,Rio Grande do Norte,54022584
2014,RO,Rondônia,34030982
2014,RR,Roraima,9744122
2014,RS,Rio Grande do Sul,357816424
2014,SC,Santa Catarina,242553371
2014,SE,Sergipe,37472432
2014,SP,São Paulo,1858196055
2014,TO,Tocantins,26189323
2015,AC,Acre,13622802
2015,AL,Alagoas,46367211
2015,AM,Amazonas,86568184
2015,AP,Amapá,13861293
2015,BA,Bahia,245043690
2015,CE,Ceará,130629849
2015,DF,Distrito Federal,215612863
2015,ES,Espírito Santo,120365980
2015,GO,Goiás,173632450
2015,MA,Maranhão,78475994
2015,MG,Minas Gerais,519331213
2015,MS,Mato Grosso do Sul,83082555
2015,MT,Mato Grosso,107418319
2015,PA,Pará,130899505
2015,PB,Paraíba,56141890
2015,PE,Pernambuco,156963668
2015,PI,Piauí,39149686
2015,PR,Paraná,376962822
2015,RJ,Rio de Janeiro,659138952
2015,RN,Rio Grande do Norte,57250867
2015,RO,Rondônia,36563333
2015,RR,Roraima,10242905
2015,RS,Rio Grande do Sul,381992601
2015,SC,Santa Catarina,249079642
2015,SE,Sergipe,38556530
2015,SP,São Paulo,1939901907
2015,TO,Tocantins,28930291
2016,AC,Acre,13754240
2016,AL,Alagoas,49468741
2016,AM,Amazonas,89039782
2016,AP,Amapá,14342135
2016,BA,Bahia,258738970
2016,CE,Ceará,138422521
2016,DF,Distrito Federal,235540045
2016,ES,Espírito Santo,109264423
2016,GO,Goiás,181759604
2016,MA,Maranhão,85310038
2016,MG,Minas Gerais,544810468
2016,MS,Mato Grosso do Sul,91892285
2016,MT,Mato Grosso,123880296
2016,PA,Pará,138107514
2016,PB,Paraíba,59104781
2016,PE,Pernambuco,167345031
2016,PI,Piauí,41416937
2016,PR,Paraná,401814164
2016,RJ,Rio de Janeiro,640401206
2016,RN,Rio Grande do Norte,59677389
2016,RO,Rondônia,39460359
2016,RR,Roraima,11013237
2016,RS,Rio Grande do Sul,408789528
2016,SC,Santa Catarina,256754669
2016,SE,Sergipe,38877438
2016,SP,São Paulo,2038757382
2016,TO,Tocantins,31584816
2017,AC,Acre,14272941
2017,AL,Alagoas,52851067
2017,AM,Amazonas,93240191
2017,AP,Amapá,15481908
2017,BA,Bahia,268724090
2017,CE,Ceará,147921534
2017,DF,Distrito Federal,244722249
2017,ES,Espírito Santo,113399937
2017,GO,Goiás,191948301
2017,MA,Maranhão,89542757
2017,MG,Minas Gerais,576375545
2017,MS,Mato Grosso do Sul,96396434
2017,MT,Mato Grosso,126845898
2017,PA,Pará,155232404
2017,PB,Paraíba,62396776
2017,PE,Pernambuco,181609501
2017,PI,Piauí,45365541
2017,PR,Paraná,421497870
2017,RJ,Rio de Janeiro,671605668
2017,RN,Rio Grande do Norte,64305995
2017,RO,Rondônia,43516147
2017,RR,Roraima,12104709
2017,RS,Rio Grande do Sul,423270047
2017,SC,Santa Catarina,277270237
2017,SE,Sergipe,40711486
2017,SP,São Paulo,2120761635
2017,TO,Tocantins,34108132
2018,AC,Acre,15331123
2018,AL,Alagoas,54413047
2018,AM,Amazonas,100109235
2018,AP,Amapá,16795207
2018,BA,Bahia,286239541
2018,CE,Ceará,155903825
2018,DF,Distrito Federal,254817205
2018,ES,Espírito Santo,137020055
2018,GO,Goiás,195681724
2018,MA,Maranhão,98179496
2018,MG,Minas Gerais,614875820
2018,MS,Mato Grosso do Sul,106969142
2018,MT,Mato Grosso,137442853
2018,PA,Pará,161349602
2018,PB,Paraíba,64373595
2018,PE,Pernambuco,186351975
2018,PI,Piauí,50378418
2018,PR,Paraná,440029403
2018,RJ,Rio de Janeiro,758859047
2018,RN,Rio Grande do Norte,66969562
2018,RO,Rondônia,44913978
2018,RR,Roraima,13369988
2018,RS,Rio Grande do Sul,457293958
2018,SC,Santa Catarina,298227090
2018,SE,Sergipe,42017981
2018,SP,São Paulo,2210561949
2018,TO,Tocantins,35666183
2019,AC,Acre,15630017
2019,AL,Alagoas,58963729
2019,AM,Amazonas,108181091
2019,AP,Amapá,17496661
2019,BA,Bahia,293240504
2019,CE,Ceará,163575327
2019,DF,Distrito Federal,273613711
2019,ES,Espírito Santo,137345595
2019,GO,Goiás,208672492
2019,MA,Maranhão,97339938
2019,MG,Minas Gerais,651872684
2019,MS,Mato Grosso do Sul,106943246
2019,MT,Mato Grosso,142122028
2019,PA,Pará,178376984
2019,PB,Paraíba,67986074
2019,PE,Pernambuco,197853378
2019,PI,Piauí,52780785
2019,PR,Paraná,466377036
2019,RJ,Rio de Janeiro,779927917
2019,RN,Rio Grande do Norte,71336780
2019,RO,Rondônia,47091336
2019,RR,Roraima,14292227
2019,RS,Rio Grande do Sul,482464177
2019,SC,Santa Catarina,323263857
2019,SE,Sergipe,44689483
2019,SP,São Paulo,2348338000
2019,TO,Tocantins,39355941
2020,AC,Acre,16476371
2020,AL,Alagoas,63202349
2020,AM,Amazonas,116019139
2020,AP,Amapá,18469115
2020,BA,Bahia,305320813
2020,CE,Ceará,166914536
2020,DF,Distrito Federal,265847334
2020,ES,Espírito Santo,138445922
2020,GO,Goiás,224126112
2020,MA,Maranhão,106915962
2020,MG,Minas Gerais,682786116
2020,MS,Mato Grosso do Sul,122627726
2020,MT,Mato Grosso,178649564
2020,PA,Pará,215935604
2020,PB,Paraíba,70292034
2020,PE,Pernambuco,193307317
2020,PI,Piauí,56391257
2020,PR,Paraná,487930594
2020,RJ,Rio de Janeiro,753823711
2020,RN,Rio Grande do Norte,71577107
2020,RO,Rondônia,51598741
2020,RR,Roraima,16024276
2020,RS,Rio Grande do Sul,470941846
2020,SC,Santa Catarina,349275016
2020,SE,Sergipe,45409657
2020,SP,São Paulo,2377638980
2020,TO,Tocantins,43649803
2021,AC,Acre,21374440
2021,AL,Alagoas,76265620
2021,AM,Amazonas,131531038
2021,AP,Amapá,20099851
2021,BA,Bahia,352617852
2021,CE,Ceará,194884802
2021,DF,Distrito Federal,286943782
2021,ES,Espírito Santo,186336505
2021,GO,Goiás,269627874
2021,MA,Maranhão,124980720
2021,MG,Minas Gerais,857593214
2021,MS,Mato Grosso do Sul,142203766
2021,MT,Mato Grosso,233390203
2021,PA,Pará,262904979
2021,PB,Paraíba,77470331
2021,PE,Pernambuco,220813522
2021,PI,Piauí,64028303
2021,PR,Paraná,549973062
2021,RJ,Rio de Janeiro,949300770
2021,RN,Rio Grande do Norte,80180733
2021,RO,Rondônia,58170096
2021,RR,Roraima,18202579
2021,RS,Rio Grande do Sul,581283677
2021,SC,Santa Catarina,428570889
2021,SE,Sergipe,51861397
2021,SP,São Paulo,2719751231
2021,TO,Tocantins,51780764
2022,AC,Acre,23676136
2022,AL,Alagoas,76065806
2022,AM,Amazonas,145140465
2022,AP,Amapá,23614291
2022,BA,Bahia,402646606
2022,CE,Ceará,213600674
2022,DF,Distrito Federal,328789563
2022,ES,Espírito Santo,182548590
2022,GO,Goiás,318586149
2022,MA,Maranhão,139789146
2022,MG,Minas Gerais,906730670
2022,MS,Mato Grosso do Sul,166407329
2022,MT,Mato Grosso,255527297
2022,PA,Pará,236141874
2022,PB,Paraíba,86094173
2022,PE,Pernambuco,245828017
2022,PI,Piauí,72834504
2022,PR,Paraná,614610848
