ano,pago_real,populacao,interpolado,per_capita_real
2014,47211476480.42085,202768562.0,False,232.83430140625475
2015,48839962987.94738,204450049.0,False,238.88457462755306
2016,45784414810.526505,206081432.0,False,222.16661814794892
2017,46193352518.30859,207660929.0,False,222.44604577642332
2018,43029711540.25842,208494900.0,False,206.38256158907686
2019,42313911421.47665,210147125.0,False,201.3537488151534
2020,38752932377.13962,211755692.0,False,183.00774827408
2021,34856514058.211006,213317639.0,False,163.40193066833544
2022,34798188209.32086,213073009.33333337,True,163.31579639391236
2023,37036289990.0582,212828379.66666663,True,174.01950833843074
2024,36698634884.74181,212583750.0,False,172.6314211916095
2025,41078265746.65,213421037.0,False,192.47524201023353
